,season,team,player,nation,pos,age,mp,starts,minutes,ninetys,gls,ast,npg,xg,npxg,xa,np_xgoal_contrib,sh,sot,dist,fk,pkscored,pkatt,tkl,tklw,tklvsdrb,attvsdrb,press,succ,blocks,inter,err,pass_cmp,pass_att,pass_totdist,pass_prgdist,sca,sca_passlive,sca_passdead,sca_drib,sca_sh,sca_fld,sca_def,gca,gca_passlive,gca_passdead,gca_drib,gca_sh,gca_fld,gca_def,touches,touches_defthird,touches_attthird,touches_attpen,carries,carries_totdist,carries_prgdist,progcarries,progpassrec,crdy,crdr,twocrdy,fls,fld,off,recov,arlwon,arllost,player_team
210,2022_2023,Crystal Palace,Nathaniel Clyne,eng ENG,DF,31,5,4,371.0,4.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,,0,0,0,8,3,3,4,37,8,9,5,0,149,182,2565,1015,4,3,1,0,0,0,0,0,0,0,0,0,0,0,213,74,42,1,109,438,250,9,0,1,0,0,2,1,0,26,1,10,"Nathaniel_Clyne_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
211,2022_2023,Crystal Palace,Odsonne Édouard,fr FRA,FW,24,6,3,285.0,3.2,0.0,1.0,0.0,0.9,0.9,0.3,1.2,7,4,11.1,0,0,0,3,2,1,1,72,12,4,0,0,61,74,759,173,10,7,0,0,2,1,0,2,2,0,0,0,0,0,115,14,46,12,64,304,207,13,11,1,0,0,7,2,2,15,10,9,"Odsonne_Édouard_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
212,2022_2023,Crystal Palace,Jean-Philippe Mateta,fr FRA,FW,25,5,2,186.0,2.1,1.0,0.0,1.0,1.2,1.2,0.2,1.3,9,4,14.1,0,0,0,2,2,0,1,34,8,0,1,0,36,45,523,12,5,3,0,0,2,0,0,0,0,0,0,0,0,0,71,12,29,12,43,199,56,5,18,1,0,0,6,2,0,9,6,6,"Jean-Philippe_Mateta_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
213,2022_2023,Crystal Palace,Michael Olise,fr FRA,"MF,FW",20,5,1,149.0,1.7,0.0,0.0,0.0,0.2,0.2,0.3,0.4,4,1,21.1,0,0,0,9,3,2,2,35,7,2,3,0,49,70,1005,315,8,3,2,2,0,0,1,0,0,0,0,0,0,0,104,18,53,3,72,534,356,22,6,0,0,0,3,3,0,11,0,2,"Michael_Olise_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
214,2022_2023,Everton,Alex Iwobi,ng NGA,MF,26,6,6,540.0,6.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,4,1,26.9,0,0,0,14,6,5,14,88,38,5,9,0,208,249,4261,1359,17,15,0,2,0,0,0,1,1,0,0,0,0,0,311,84,56,3,212,1006,433,12,10,1,0,0,4,1,0,67,2,6,Alex_Iwobi_['E_v_e_r_t_o_n']
215,2022_2023,Everton,Nathan Patterson,sct SCO,DF,20,6,6,540.0,6.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,5,1,18.6,0,0,0,21,10,6,15,95,24,12,12,0,171,230,2724,1034,6,4,0,0,0,1,1,0,0,0,0,0,0,0,305,113,97,10,145,763,344,15,7,1,0,0,6,4,1,42,6,6,Nathan_Patterson_['E_v_e_r_t_o_n']
216,2022_2023,Everton,James Tarkowski,eng ENG,DF,29,6,6,540.0,6.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,5,3,9.8,0,0,0,12,8,3,7,50,21,14,14,0,184,221,4613,1449,3,3,0,0,0,0,0,0,0,0,0,0,0,0,317,193,10,9,143,469,234,4,2,0,0,0,4,2,0,56,26,6,James_Tarkowski_['E_v_e_r_t_o_n']
217,2022_2023,Everton,Vitaliy Mykolenko,ua UKR,DF,23,6,6,535.0,5.9,0.0,0.0,0.0,0.3,0.3,0.3,0.7,3,1,19.6,0,0,0,10,5,3,7,41,14,10,17,0,183,246,3013,1242,11,9,0,0,1,1,0,0,0,0,0,0,0,0,318,108,72,4,163,723,421,13,7,1,0,0,6,3,0,48,9,13,Vitaliy_Mykolenko_['E_v_e_r_t_o_n']
218,2022_2023,Everton,Anthony Gordon,eng ENG,FW,21,6,6,531.0,5.9,2.0,0.0,2.0,1.7,1.7,0.4,2.1,18,13,16.6,0,0,0,11,6,2,12,134,44,8,5,0,102,135,1751,390,20,11,0,2,4,1,2,0,0,0,0,0,0,0,241,44,115,30,160,1011,608,27,23,3,0,0,13,11,3,40,5,28,Anthony_Gordon_['E_v_e_r_t_o_n']
219,2022_2023,Everton,Demarai Gray,eng ENG,FW,26,6,6,530.0,5.9,1.0,0.0,1.0,1.3,1.3,0.7,1.9,14,5,18.7,2,0,0,5,3,2,5,56,18,4,2,0,106,158,1952,534,18,12,2,2,2,0,0,1,1,0,0,0,0,0,241,25,130,30,163,1061,675,29,40,0,0,0,2,6,5,31,3,19,Demarai_Gray_['E_v_e_r_t_o_n']
